parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
269	L_a10p_ROI	105	3.0	FrontalL	103	98.09523809523809
270	L_10pp_ROI	95	3.0	FrontalL	53	55.78947368421052
271	L_11l_ROI	170	3.0	FrontalL	133	78.23529411764706
272	L_13l_ROI	117	3.0	FrontalL	110	94.01709401709401
273	L_OFC_ROI	328	1.0	OtherL	237	72.2560975609756
274	L_47s_ROI	119	3.0	FrontalL	99	83.19327731092437
275	L_LIPd_ROI	99	1.0	OtherL	65	65.65656565656566
276	L_6a_ROI	360	1.0	OtherL	305	84.72222222222221
277	L_i6-8_ROI	86	3.0	FrontalL	69	80.23255813953489
278	L_s6-8_ROI	55	3.0	FrontalL	55	100.0
279	L_43_ROI	126	1.0	OtherL	126	100.0
280	L_OP4_ROI	212	1.0	OtherL	212	100.0
281	L_OP1_ROI	135	1.0	OtherL	135	100.0
282	L_OP2-3_ROI	141	1.0	OtherL	141	100.0
283	L_52_ROI	72	1.0	OtherL	72	100.0
284	L_RI_ROI	205	1.0	OtherL	205	100.0
285	L_PFcm_ROI	131	1.0	OtherL	131	100.0
286	L_PoI2_ROI	161	1.0	OtherL	161	100.0
287	L_TA2_ROI	71	1.0	OtherL	69	97.1830985915493
288	L_FOP4_ROI	217	1.0	OtherL	185	85.25345622119815
289	L_MI_ROI	117	1.0	OtherL	95	81.19658119658119
290	L_Pir_ROI	186	1.0	OtherL	123	66.12903225806451
291	L_AVI_ROI	126	3.0	FrontalL	125	99.20634920634922
292	L_AAIC_ROI	76	3.0	FrontalL	43	56.57894736842105
293	L_FOP1_ROI	50	1.0	OtherL	50	100.0
294	L_FOP3_ROI	84	1.0	OtherL	84	100.0
295	L_FOP2_ROI	104	1.0	OtherL	104	100.0
296	L_PFt_ROI	195	1.0	OtherL	195	100.0
297	L_AIP_ROI	309	1.0	OtherL	309	100.0
298	L_EC_ROI	86	5.0	TemporalL	79	91.86046511627907
299	L_PreS_ROI	159	5.0	TemporalL	116	72.95597484276729
300	L_H_ROI	233	5.0	TemporalL	223	95.70815450643777
301	L_ProS_ROI	138	9.0	PCingPrecunL	105	76.08695652173914
302	L_PeEc_ROI	245	5.0	TemporalL	224	91.42857142857143
303	L_STGa_ROI	57	5.0	TemporalL	56	98.24561403508771
304	L_PBelt_ROI	164	1.0	OtherL	164	100.0
305	L_A5_ROI	138	5.0	TemporalL	125	90.57971014492753
306	L_PHA1_ROI	108	5.0	TemporalL	108	100.0
307	L_PHA3_ROI	120	5.0	TemporalL	120	100.0
308	L_STSda_ROI	123	5.0	TemporalL	123	100.0
