parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
270	L_10pp_ROI	95	1	L_Other	41	43.15789473684211	10pp_ROI	Other	109	191	109	0.5706806282722513
271	L_11l_ROI	170	3	L_Frontal	138	81.17647058823529	11l_ROI	Frontal	249	323	249	0.7708978328173375
272	L_13l_ROI	117	3	L_Frontal	109	93.16239316239316	13l_ROI	Frontal	170	199	170	0.8542713567839196
273	L_OFC_ROI	328	1	L_Other	247	75.3048780487805	OFC_ROI	Other	477	680	477	0.7014705882352941
274	L_47s_ROI	119	3	L_Frontal	109	91.59663865546219	47s_ROI	Frontal	242	265	242	0.9132075471698113
275	L_LIPd_ROI	99	1	L_Other	73	73.73737373737373	LIPd_ROI	Other	131	174	131	0.7528735632183908
276	L_6a_ROI	360	1	L_Other	312	86.66666666666667	6a_ROI	Other	572	699	572	0.8183118741058655
277	L_i6-8_ROI	86	3	L_Frontal	65	75.5813953488372	i6-8_ROI	Frontal	157	185	157	0.8486486486486486
278	L_s6-8_ROI	55	3	L_Frontal	54	98.18181818181819	s6-8_ROI	Frontal	140	141	140	0.9929078014184397
279	L_43_ROI	126	1	L_Other	126	100.0	43_ROI	Other	261	261	261	1.0
280	L_OP4_ROI	212	1	L_Other	212	100.0	OP4_ROI	Other	427	427	427	1.0
281	L_OP1_ROI	135	1	L_Other	135	100.0	OP1_ROI	Other	227	227	227	1.0
282	L_OP2-3_ROI	141	1	L_Other	141	100.0	OP2-3_ROI	Other	228	228	228	1.0
283	L_52_ROI	72	1	L_Other	72	100.0	52_ROI	Other	125	125	125	1.0
284	L_RI_ROI	205	1	L_Other	205	100.0	RI_ROI	Other	443	443	443	1.0
285	L_PFcm_ROI	131	1	L_Other	131	100.0	PFcm_ROI	Other	315	315	315	1.0
286	L_PoI2_ROI	161	1	L_Other	161	100.0	PoI2_ROI	Other	333	333	333	1.0
287	L_TA2_ROI	71	1	L_Other	69	97.1830985915493	TA2_ROI	Other	168	182	168	0.9230769230769231
288	L_FOP4_ROI	217	1	L_Other	158	72.81105990783409	FOP4_ROI	Other	259	373	259	0.6943699731903485
289	L_MI_ROI	117	1	L_Other	83	70.94017094017094	MI_ROI	Other	160	224	160	0.7142857142857143
290	L_Pir_ROI	186	1	L_Other	110	59.13978494623656	Pir_ROI	Other	229	383	229	0.597911227154047
291	L_AVI_ROI	126	3	L_Frontal	126	100.0	AVI_ROI	Frontal	275	276	275	0.9963768115942029
292	L_AAIC_ROI	76	1	L_Other	53	69.73684210526315	AAIC_ROI	Other	89	139	89	0.6402877697841727
293	L_FOP1_ROI	50	1	L_Other	50	100.0	FOP1_ROI	Other	121	121	121	1.0
294	L_FOP3_ROI	84	1	L_Other	84	100.0	FOP3_ROI	Other	159	159	159	1.0
295	L_FOP2_ROI	104	1	L_Other	104	100.0	FOP2_ROI	Other	190	190	190	1.0
296	L_PFt_ROI	195	1	L_Other	195	100.0	PFt_ROI	Other	388	388	388	1.0
297	L_AIP_ROI	309	1	L_Other	309	100.0	AIP_ROI	Other	680	680	680	1.0
298	L_EC_ROI	86	5	L_Temporal	74	86.04651162790698	EC_ROI	Temporal	154	172	154	0.8953488372093024
299	L_PreS_ROI	159	5	L_Temporal	110	69.18238993710692	PreS_ROI	Temporal	237	328	237	0.7225609756097561
300	L_H_ROI	233	5	L_Temporal	209	89.69957081545064	H_ROI	Temporal	413	441	413	0.9365079365079365
301	L_ProS_ROI	138	9	L_PCingPrecun	108	78.26086956521739	ProS_ROI	PCingPrecun	182	271	182	0.6715867158671587
302	L_PeEc_ROI	245	5	L_Temporal	218	88.9795918367347	PeEc_ROI	Temporal	487	557	487	0.874326750448833
303	L_STGa_ROI	57	5	L_Temporal	56	98.24561403508771	STGa_ROI	Temporal	88	105	88	0.8380952380952381
304	L_PBelt_ROI	164	1	L_Other	164	100.0	PBelt_ROI	Other	260	260	260	1.0
305	L_A5_ROI	138	5	L_Temporal	123	89.13043478260869	A5_ROI	Temporal	292	337	292	0.8664688427299704
306	L_PHA1_ROI	108	5	L_Temporal	105	97.22222222222221	PHA1_ROI	Temporal	217	220	217	0.9863636363636363
307	L_PHA3_ROI	120	5	L_Temporal	107	89.16666666666667	PHA3_ROI	Temporal	185	205	185	0.9024390243902439
308	L_STSda_ROI	123	5	L_Temporal	123	100.0	STSda_ROI	Temporal	311	311	311	1.0
309	L_STSdp_ROI	199	5	L_Temporal	195	97.98994974874373	STSdp_ROI	Temporal	393	409	393	0.960880195599022
310	L_STSvp_ROI	208	5	L_Temporal	208	100.0	STSvp_ROI	Temporal	359	359	359	1.0
311	L_TGd_ROI	418	5	L_Temporal	327	78.22966507177034	TGd_ROI	Temporal	635	836	635	0.7595693779904307
312	L_TE1a_ROI	124	5	L_Temporal	124	100.0	TE1a_ROI	Temporal	229	229	229	1.0
313	L_TE1p_ROI	238	5	L_Temporal	238	100.0	TE1p_ROI	Temporal	463	464	463	0.9978448275862069
314	L_TE2a_ROI	253	5	L_Temporal	200	79.05138339920948	TE2a_ROI	Temporal	416	532	416	0.7819548872180451
315	L_TF_ROI	296	5	L_Temporal	263	88.85135135135135	TF_ROI	Temporal	552	609	552	0.9064039408866995
316	L_TE2p_ROI	125	5	L_Temporal	122	97.6	TE2p_ROI	Temporal	263	270	263	0.9740740740740741
317	L_PHT_ROI	182	5	L_Temporal	104	57.14285714285714	PHT_ROI	Temporal	201	303	201	0.6633663366336634
318	L_PH_ROI	225	5	L_Temporal	150	66.66666666666666	PH_ROI	Temporal	293	397	293	0.7380352644836272
319	L_TPOJ1_ROI	181	1	L_Other	162	89.50276243093923	TPOJ1_ROI	Other	378	478	378	0.7907949790794979
320	L_TPOJ2_ROI	156	1	L_Other	78	50.0	TPOJ2_ROI	Other	218	299	218	0.7290969899665551
321	L_TPOJ3_ROI	84	7	L_Angular	82	97.61904761904762	TPOJ3_ROI	Angular	156	179	156	0.8715083798882681
322	L_DVT_ROI	129	1	L_Other	90	69.76744186046511	DVT_ROI	Other	142	259	142	0.5482625482625483
323	L_PGp_ROI	147	7	L_Angular	106	72.10884353741497	PGp_ROI	Angular	244	300	244	0.8133333333333334
324	L_IP2_ROI	198	1	L_Other	156	78.78787878787878	IP2_ROI	Other	372	416	372	0.8942307692307693
