parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage	bilateral_parcel_name	bilateral_roi_name	bilateral_roi_count	bilateral_num_vertices	bilateral_roi_count_max	bilateral_roi_percentage
130	R_STSvp_ROI	151	2	R_Lateral	151	100.0	STSvp_ROI	Lateral	359	359	359	1.0
131	R_TGd_ROI	418	2	R_Lateral	360	86.1244019138756	TGd_ROI	Lateral	699	836	699	0.8361244019138756
132	R_TE1a_ROI	105	2	R_Lateral	105	100.0	TE1a_ROI	Lateral	229	229	229	1.0
133	R_TE1p_ROI	226	2	R_Lateral	226	100.0	TE1p_ROI	Lateral	464	464	464	1.0
134	R_TE2a_ROI	279	2	R_Lateral	247	88.5304659498208	TE2a_ROI	Lateral	494	532	494	0.9285714285714286
135	R_TF_ROI	313	0	???	197	62.939297124600635	TF_ROI	???	470	609	470	0.7717569786535303
136	R_TE2p_ROI	145	2	R_Lateral	121	83.44827586206897	TE2p_ROI	Lateral	233	270	233	0.8629629629629629
137	R_PHT_ROI	121	2	R_Lateral	117	96.69421487603306	PHT_ROI	Lateral	292	303	292	0.9636963696369637
138	R_PH_ROI	172	2	R_Lateral	148	86.04651162790698	PH_ROI	Lateral	301	397	301	0.7581863979848866
139	R_TPOJ1_ROI	297	0	???	157	52.861952861952865	TPOJ1_ROI	???	241	478	241	0.50418410041841
140	R_TPOJ2_ROI	143	0	???	115	80.41958041958041	TPOJ2_ROI	???	258	299	258	0.862876254180602
141	R_TPOJ3_ROI	95	2	R_Lateral	58	61.05263157894737	TPOJ3_ROI	Lateral	103	179	103	0.5754189944134078
142	R_DVT_ROI	130	0	???	82	63.07692307692307	DVT_ROI	???	191	259	191	0.7374517374517374
143	R_PGp_ROI	153	2	R_Lateral	127	83.00653594771242	PGp_ROI	Lateral	218	300	218	0.7266666666666667
144	R_IP2_ROI	218	0	???	152	69.72477064220183	IP2_ROI	???	312	416	312	0.75
145	R_IP1_ROI	194	2	R_Lateral	194	100.0	IP1_ROI	Lateral	383	383	383	1.0
146	R_IP0_ROI	95	2	R_Lateral	77	81.05263157894737	IP0_ROI	Lateral	144	203	144	0.7093596059113301
147	R_PFop_ROI	155	0	???	155	100.0	PFop_ROI	???	314	314	314	1.0
148	R_PF_ROI	383	0	???	383	100.0	PF_ROI	???	755	755	755	1.0
149	R_PFm_ROI	471	0	???	255	54.14012738853503	PFm_ROI	???	544	980	544	0.5551020408163265
150	R_PGi_ROI	377	2	R_Lateral	292	77.45358090185677	PGi_ROI	Lateral	653	807	653	0.8091697645600991
151	R_PGs_ROI	209	2	R_Lateral	209	100.0	PGs_ROI	Lateral	514	514	514	1.0
