parcel_num	parcel_name	num_vertices	roi_num	roi_name	roi_count	roi_percentage
222	L_7AL_ROI	204	0.0	???	204	100.0
223	L_SCEF_ROI	203	0.0	???	203	100.0
224	L_6ma_ROI	178	0.0	???	147	82.58426966292134
225	L_7Am_ROI	208	0.0	???	188	90.38461538461539
226	L_7PL_ROI	97	0.0	???	62	63.91752577319587
227	L_7PC_ROI	171	0.0	???	161	94.15204678362574
228	L_LIPv_ROI	130	0.0	???	106	81.53846153846153
229	L_VIP_ROI	116	0.0	???	98	84.48275862068965
230	L_MIP_ROI	159	1.0	L_Lateral	95	59.74842767295597
231	L_1_ROI	401	0.0	???	401	100.0
232	L_2_ROI	574	0.0	???	574	100.0
233	L_3a_ROI	305	0.0	???	305	100.0
234	L_6d_ROI	154	0.0	???	154	100.0
235	L_6mp_ROI	258	0.0	???	258	100.0
236	L_6v_ROI	85	1.0	L_Lateral	43	50.588235294117645
237	L_p24pr_ROI	81	0.0	???	81	100.0
238	L_33pr_ROI	55	0.0	???	55	100.0
239	L_a24pr_ROI	94	0.0	???	94	100.0
240	L_p32pr_ROI	139	0.0	???	139	100.0
241	L_a24_ROI	90	0.0	???	90	100.0
242	L_d32_ROI	120	0.0	???	120	100.0
243	L_8BM_ROI	174	0.0	???	174	100.0
244	L_p32_ROI	99	0.0	???	99	100.0
245	L_10r_ROI	94	0.0	???	94	100.0
246	L_47m_ROI	53	1.0	L_Lateral	53	100.0
247	L_8Av_ROI	199	1.0	L_Lateral	157	78.89447236180904
248	L_8Ad_ROI	242	0.0	???	212	87.60330578512396
249	L_9m_ROI	275	0.0	???	275	100.0
250	L_8BL_ROI	151	0.0	???	151	100.0
251	L_9p_ROI	147	0.0	???	147	100.0
252	L_10d_ROI	153	0.0	???	153	100.0
253	L_8C_ROI	257	1.0	L_Lateral	257	100.0
254	L_44_ROI	139	1.0	L_Lateral	125	89.92805755395683
255	L_45_ROI	200	1.0	L_Lateral	200	100.0
256	L_47l_ROI	113	1.0	L_Lateral	113	100.0
257	L_a47r_ROI	176	1.0	L_Lateral	145	82.38636363636364
258	L_6r_ROI	242	0.0	???	167	69.00826446280992
259	L_IFJa_ROI	88	1.0	L_Lateral	88	100.0
260	L_IFJp_ROI	87	1.0	L_Lateral	87	100.0
261	L_IFSp_ROI	103	1.0	L_Lateral	103	100.0
262	L_IFSa_ROI	159	1.0	L_Lateral	156	98.11320754716981
263	L_p9-46v_ROI	128	1.0	L_Lateral	128	100.0
264	L_46_ROI	213	0.0	???	166	77.93427230046949
